header:
  x % 601   x % 443    x % 41    x % 37    x % 29    x % 23    x % 19    x % 17    x % 13         x
      119       119        37         8         3         4         5         0         2       119 
      120       120        38         9         4         5         6         1         3       120 
      121       121        39        10         5         6         7         2         4       121 
      122       122        40        11         6         7         8         3         5       122 
      123       123         0        12         7         8         9         4         6       123 
      124       124         1        13         8         9        10         5         7       124 
      125       125         2        14         9        10        11         6         8       125 
      126       126         3        15        10        11        12         7         9       126 
      127       127         4        16        11        12        13         8        10       127 
      128       128         5        17        12        13        14         9        11       128 
      129       129         6        18        13        14        15        10        12       129 
      130       130         7        19        14        15        16        11         0       130 
      131       131         8        20        15        16        17        12         1       131 
      132       132         9        21        16        17        18        13         2       132 
      133       133        10        22        17        18         0        14         3       133 
      134       134        11        23        18        19         1        15         4       134 
      135       135        12        24        19        20         2        16         5       135 
      136       136        13        25        20        21         3         0         6       136 
      137       137        14        26        21        22         4         1         7       137 
      138       138        15        27        22         0         5         2         8       138 
      139       139        16        28        23         1         6         3         9       139 
      140       140        17        29        24         2         7         4        10       140 
      141       141        18        30        25         3         8         5        11       141 
      142       142        19        31        26         4         9         6        12       142 
      143       143        20        32        27         5        10         7         0       143 
      144       144        21        33        28         6        11         8         1       144 
      145       145        22        34         0         7        12         9         2       145 
      146       146        23        35         1         8        13        10         3       146 
      147       147        24        36         2         9        14        11         4       147 
      148       148        25         0         3        10        15        12         5       148 
      149       149        26         1         4        11        16        13         6       149 
      150       150        27         2         5        12        17        14         7       150 
      151       151        28         3         6        13        18        15         8       151 
      152       152        29         4         7        14         0        16         9       152 
      153       153        30         5         8        15         1         0        10       153 
      154       154        31         6         9        16         2         1        11       154 
      155       155        32         7        10        17         3         2        12       155 
      156       156        33         8        11        18         4         3         0       156 
      157       157        34         9        12        19         5         4         1       157 
      158       158        35        10        13        20         6         5         2       158 
      159       159        36        11        14        21         7         6         3       159 
      160       160        37        12        15        22         8         7         4       160 
      161       161        38        13        16         0         9         8         5       161 
      162       162        39        14        17         1        10         9         6       162 
      163       163        40        15        18         2        11        10         7       163 
      164       164         0        16        19         3        12        11         8       164 
      165       165         1        17        20         4        13        12         9       165 
      166       166         2        18        21         5        14        13        10       166 
      167       167         3        19        22         6        15        14        11       167 
      168       168         4        20        23         7        16        15        12       168 
      169       169         5        21        24         8        17        16         0       169 
      170       170         6        22        25         9        18         0         1       170 
      171       171         7        23        26        10         0         1         2       171 
      172       172         8        24        27        11         1         2         3       172 
      173       173         9        25        28        12         2         3         4       173 
      174       174        10        26         0        13         3         4         5       174 
      175       175        11        27         1        14         4         5         6       175 
      176       176        12        28         2        15         5         6         7       176 
      177       177        13        29         3        16         6         7         8       177 
      178       178        14        30         4        17         7         8         9       178 
      179       179        15        31         5        18         8         9        10       179 
      180       180        16        32         6        19         9        10        11       180 
      181       181        17        33         7        20        10        11        12       181 
      182       182        18        34         8        21        11        12         0       182 
      183       183        19        35         9        22        12        13         1       183 
      184       184        20        36        10         0        13        14         2       184 
      185       185        21         0        11         1        14        15         3       185 
      186       186        22         1        12         2        15        16         4       186 
      187       187        23         2        13         3        16         0         5       187 
      188       188        24         3        14         4        17         1         6       188 
      189       189        25         4        15         5        18         2         7       189 
      190       190        26         5        16         6         0         3         8       190 
      191       191        27         6        17         7         1         4         9       191 
      192       192        28         7        18         8         2         5        10       192 
      193       193        29         8        19         9         3         6        11       193 
      194       194        30         9        20        10         4         7        12       194 
      195       195        31        10        21        11         5         8         0       195 
      196       196        32        11        22        12         6         9         1       196 
      197       197        33        12        23        13         7        10         2       197 
      198       198        34        13        24        14         8        11         3       198 
      199       199        35        14        25        15         9        12         4       199 
      200       200        36        15        26        16        10        13         5       200 
      201       201        37        16        27        17        11        14         6       201 
      202       202        38        17        28        18        12        15         7       202 
      203       203        39        18         0        19        13        16         8       203 
      204       204        40        19         1        20        14         0         9       204 
      205       205         0        20         2        21        15         1        10       205 
      206       206         1        21         3        22        16         2        11       206 
      207       207         2        22         4         0        17         3        12       207 
      208       208         3        23         5         1        18         4         0       208 
      209       209         4        24         6         2         0         5         1       209 
      210       210         5        25         7         3         1         6         2       210 
      211       211         6        26         8         4         2         7         3       211 
      212       212         7        27         9         5         3         8         4       212 
      213       213         8        28        10         6         4         9         5       213 
      214       214         9        29        11         7         5        10         6       214 
      215       215        10        30        12         8         6        11         7       215 
      216       216        11        31        13         9         7        12         8       216 
      217       217        12        32        14        10         8        13         9       217 
      218       218        13        33        15        11         9        14        10       218 
      219       219        14        34        16        12        10        15        11       219 
      220       220        15        35        17        13        11        16        12       220 
      221       221        16        36        18        14        12         0         0       221 
      222       222        17         0        19        15        13         1         1       222 
      223       223        18         1        20        16        14         2         2       223 
      224       224        19         2        21        17        15         3         3       224 
      225       225        20         3        22        18        16         4         4       225 
      226       226        21         4        23        19        17         5         5       226 
      227       227        22         5        24        20        18         6         6       227 
      228       228        23         6        25        21         0         7         7       228 
      229       229        24         7        26        22         1         8         8       229 
      230       230        25         8        27         0         2         9         9       230 
      231       231        26         9        28         1         3        10        10       231 
      232       232        27        10         0         2         4        11        11       232 
      233       233        28        11         1         3         5        12        12       233 
      234       234        29        12         2         4         6        13         0       234 
      235       235        30        13         3         5         7        14         1       235 
      236       236        31        14         4         6         8        15         2       236 
      237       237        32        15         5         7         9        16         3       237 
      238       238        33        16         6         8        10         0         4       238 
      239       239        34        17         7         9        11         1         5       239 
      240       240        35        18         8        10        12         2         6       240 
      241       241        36        19         9        11        13         3         7       241 
      242       242        37        20        10        12        14         4         8       242 
      243       243        38        21        11        13        15         5         9       243 
      244       244        39        22        12        14        16         6        10       244 
      245       245        40        23        13        15        17         7        11       245 
      246       246         0        24        14        16        18         8        12       246 
      247       247         1        25        15        17         0         9         0       247 
      248       248         2        26        16        18         1        10         1       248 
      249       249         3        27        17        19         2        11         2       249 
      250       250         4        28        18        20         3        12         3       250 
      251       251         5        29        19        21         4        13         4       251 
      252       252         6        30        20        22         5        14         5       252 
      253       253         7        31        21         0         6        15         6       253 
      254       254         8        32        22         1         7        16         7       254 
      255       255         9        33        23         2         8         0         8       255 
      256       256        10        34        24         3         9         1         9       256 
      257       257        11        35        25         4        10         2        10       257 
      258       258        12        36        26         5        11         3        11       258 
      259       259        13         0        27         6        12         4        12       259 
      260       260        14         1        28         7        13         5         0       260 
      261       261        15         2         0         8        14         6         1       261 
      262       262        16         3         1         9        15         7         2       262 
      263       263        17         4         2        10        16         8         3       263 
      264       264        18         5         3        11        17         9         4       264 
      265       265        19         6         4        12        18        10         5       265 
      266       266        20         7         5        13         0        11         6       266 
      267       267        21         8         6        14         1        12         7       267 
      268       268        22         9         7        15         2        13         8       268 
      269       269        23        10         8        16         3        14         9       269 
      270       270        24        11         9        17         4        15        10       270 
      271       271        25        12        10        18         5        16        11       271 
      272       272        26        13        11        19         6         0        12       272 
      273       273        27        14        12        20         7         1         0       273 
      274       274        28        15        13        21         8         2         1       274 
      275       275        29        16        14        22         9         3         2       275 
      276       276        30        17        15         0        10         4         3       276 
      277       277        31        18        16         1        11         5         4       277 
      278       278        32        19        17         2        12         6         5       278 
      279       279        33        20        18         3        13         7         6       279 
      280       280        34        21        19         4        14         8         7       280 
      281       281        35        22        20         5        15         9         8       281 
      282       282        36        23        21         6        16        10         9       282 
      283       283        37        24        22         7        17        11        10       283 
      284       284        38        25        23         8        18        12        11       284 
      285       285        39        26        24         9         0        13        12       285 
      286       286        40        27        25        10         1        14         0       286 
      287       287         0        28        26        11         2        15         1       287 
      288       288         1        29        27        12         3        16         2       288 
      289       289         2        30        28        13         4         0         3       289 
      290       290         3        31         0        14         5         1         4       290 
      291       291         4        32         1        15         6         2         5       291 
      292       292         5        33         2        16         7         3         6       292 
      293       293         6        34         3        17         8         4         7       293 
      294       294         7        35         4        18         9         5         8       294 
      295       295         8        36         5        19        10         6         9       295 
      296       296         9         0         6        20        11         7        10       296 
      297       297        10         1         7        21        12         8        11       297 
      298       298        11         2         8        22        13         9        12       298 
      299       299        12         3         9         0        14        10         0       299 
      300       300        13         4        10         1        15        11         1       300 
      301       301        14         5        11         2        16        12         2       301 
      302       302        15         6        12         3        17        13         3       302 
      303       303        16         7        13         4        18        14         4       303 
      304       304        17         8        14         5         0        15         5       304 
      305       305        18         9        15         6         1        16         6       305 
      306       306        19        10        16         7         2         0         7       306 
      307       307        20        11        17         8         3         1         8       307 
      308       308        21        12        18         9         4         2         9       308 
      309       309        22        13        19        10         5         3        10       309 
      310       310        23        14        20        11         6         4        11       310 
      311       311        24        15        21        12         7         5        12       311 
      312       312        25        16        22        13         8         6         0       312 
      313       313        26        17        23        14         9         7         1       313 
      314       314        27        18        24        15        10         8         2       314 
      315       315        28        19        25        16        11         9         3       315 
      316       316        29        20        26        17        12        10         4       316 
      317       317        30        21        27        18        13        11         5       317 
      318       318        31        22        28        19        14        12         6       318 
      319       319        32        23         0        20        15        13         7       319 
      320       320        33        24         1        21        16        14         8       320 
      321       321        34        25         2        22        17        15         9       321 
      322       322        35        26         3         0        18        16        10       322 
      323       323        36        27         4         1         0         0        11       323 
      324       324        37        28         5         2         1         1        12       324 
      325       325        38        29         6         3         2         2         0       325 
      326       326        39        30         7         4         3         3         1       326 
      327       327        40        31         8         5         4         4         2       327 
      328       328         0        32         9         6         5         5         3       328 
      329       329         1        33        10         7         6         6         4       329 
      330       330         2        34        11         8         7         7         5       330 
      331       331         3        35        12         9         8         8         6       331 
      332       332         4        36        13        10         9         9         7       332 
      333       333         5         0        14        11        10        10         8       333 
      334       334         6         1        15        12        11        11         9       334 
      335       335         7         2        16        13        12        12        10       335 
      336       336         8         3        17        14        13        13        11       336 
      337       337         9         4        18        15        14        14        12       337 
      338       338        10         5        19        16        15        15         0       338 
      339       339        11         6        20        17        16        16         1       339 
      340       340        12         7        21        18        17         0         2       340 
      341       341        13         8        22        19        18         1         3       341 
      342       342        14         9        23        20         0         2         4       342 
      343       343        15        10        24        21         1         3         5       343 
      344       344        16        11        25        22         2         4         6       344 
      345       345        17        12        26         0         3         5         7       345 
      346       346        18        13        27         1         4         6         8       346 
      347       347        19        14        28         2         5         7         9       347 
      348       348        20        15         0         3         6         8        10       348 
      349       349        21        16         1         4         7         9        11       349 
      350       350        22        17         2         5         8        10        12       350 
      351       351        23        18         3         6         9        11         0       351 
      352       352        24        19         4         7        10        12         1       352 
      353       353        25        20         5         8        11        13         2       353 
      354       354        26        21         6         9        12        14         3       354 
      355       355        27        22         7        10        13        15         4       355 
      356       356        28        23         8        11        14        16         5       356 
      357       357        29        24         9        12        15         0         6       357 
      358       358        30        25        10        13        16         1         7       358 
      359       359        31        26        11        14        17         2         8       359 
      360       360        32        27        12        15        18         3         9       360 
      361       361        33        28        13        16         0         4        10       361 
      362       362        34        29        14        17         1         5        11       362 
      363       363        35        30        15        18         2         6        12       363 
      364       364        36        31        16        19         3         7         0       364 
      365       365        37        32        17        20         4         8         1       365 
      366       366        38        33        18        21         5         9         2       366 
      367       367        39        34        19        22         6        10         3       367 
      368       368        40        35        20         0         7        11         4       368 
      369       369         0        36        21         1         8        12         5       369 
      370       370         1         0        22         2         9        13         6       370 
      371       371         2         1        23         3        10        14         7       371 
      372       372         3         2        24         4        11        15         8       372 
      373       373         4         3        25         5        12        16         9       373 
      374       374         5         4        26         6        13         0        10       374 
      375       375         6         5        27         7        14         1        11       375 
      376       376         7         6        28         8        15         2        12       376 
      377       377         8         7         0         9        16         3         0       377 
      378       378         9         8         1        10        17         4         1       378 
      379       379        10         9         2        11        18         5         2       379 
      380       380        11        10         3        12         0         6         3       380 
      381       381        12        11         4        13         1         7         4       381 
      382       382        13        12         5        14         2         8         5       382 
      383       383        14        13         6        15         3         9         6       383 
      384       384        15        14         7        16         4        10         7       384 
      385       385        16        15         8        17         5        11         8       385 
      386       386        17        16         9        18         6        12         9       386 
      387       387        18        17        10        19         7        13        10       387 
      388       388        19        18        11        20         8        14        11       388 
      389       389        20        19        12        21         9        15        12       389 
      390       390        21        20        13        22        10        16         0       390 
      391       391        22        21        14         0        11         0         1       391 
      392       392        23        22        15         1        12         1         2       392 
      393       393        24        23        16         2        13         2         3       393 
      394       394        25        24        17         3        14         3         4       394 
      395       395        26        25        18         4        15         4         5       395 
      396       396        27        26        19         5        16         5         6       396 
      397       397        28        27        20         6        17         6         7       397 
      398       398        29        28        21         7        18         7         8       398 
      399       399        30        29        22         8         0         8         9       399 
      400       400        31        30        23         9         1         9        10       400 
      401       401        32        31        24        10         2        10        11       401 
      402       402        33        32        25        11         3        11        12       402 
      403       403        34        33        26        12         4        12         0       403 
      404       404        35        34        27        13         5        13         1       404 
      405       405        36        35        28        14         6        14         2       405 
      406       406        37        36         0        15         7        15         3       406 
      407       407        38         0         1        16         8        16         4       407 
      408       408        39         1         2        17         9         0         5       408 
      409       409        40         2         3        18        10         1         6       409 
      410       410         0         3         4        19        11         2         7       410 
      411       411         1         4         5        20        12         3         8       411 
      412       412         2         5         6        21        13         4         9       412 
      413       413         3         6         7        22        14         5        10       413 
      414       414         4         7         8         0        15         6        11       414 
      415       415         5         8         9         1        16         7        12       415 
      416       416         6         9        10         2        17         8         0       416 
      417       417         7        10        11         3        18         9         1       417 
      418       418         8        11        12         4         0        10         2       418 
      419       419         9        12        13         5         1        11         3       419 
      420       420        10        13        14         6         2        12         4       420 
      421       421        11        14        15         7         3        13         5       421 
      422       422        12        15        16         8         4        14         6       422 
      423       423        13        16        17         9         5        15         7       423 
      424       424        14        17        18        10         6        16         8       424 
      425       425        15        18        19        11         7         0         9       425 
      426       426        16        19        20        12         8         1        10       426 
      427       427        17        20        21        13         9         2        11       427 
      428       428        18        21        22        14        10         3        12       428 
      429       429        19        22        23        15        11         4         0       429 
      430       430        20        23        24        16        12         5         1       430 
      431       431        21        24        25        17        13         6         2       431 
      432       432        22        25        26        18        14         7         3       432 
      433       433        23        26        27        19        15         8         4       433 
      434       434        24        27        28        20        16         9         5       434 
      435       435        25        28         0        21        17        10         6       435 
      436       436        26        29         1        22        18        11         7       436 
      437       437        27        30         2         0         0        12         8       437 
      438       438        28        31         3         1         1        13         9       438 
      439       439        29        32         4         2         2        14        10       439 
      440       440        30        33         5         3         3        15        11       440 
      441       441        31        34         6         4         4        16        12       441 
      442       442        32        35         7         5         5         0         0       442 
      443         0        33        36         8         6         6         1         1       443 
      444         1        34         0         9         7         7         2         2       444 
      445         2        35         1        10         8         8         3         3       445 
      446         3        36         2        11         9         9         4         4       446 
      447         4        37         3        12        10        10         5         5       447 
      448         5        38         4        13        11        11         6         6       448 
      449         6        39         5        14        12        12         7         7       449 
      450         7        40         6        15        13        13         8         8       450 
      451         8         0         7        16        14        14         9         9       451 
      452         9         1         8        17        15        15        10        10       452 
      453        10         2         9        18        16        16        11        11       453 
      454        11         3        10        19        17        17        12        12       454 
      455        12         4        11        20        18        18        13         0       455 
      456        13         5        12        21        19         0        14         1       456 
      457        14         6        13        22        20         1        15         2       457 
      458        15         7        14        23        21         2        16         3       458 
      459        16         8        15        24        22         3         0         4       459 
      460        17         9        16        25         0         4         1         5       460 
      461        18        10        17        26         1         5         2         6       461 
      462        19        11        18        27         2         6         3         7       462 
      463        20        12        19        28         3         7         4         8       463 
      464        21        13        20         0         4         8         5         9       464 
      465        22        14        21         1         5         9         6        10       465 
      466        23        15        22         2         6        10         7        11       466 
      467        24        16        23         3         7        11         8        12       467 
      468        25        17        24         4         8        12         9         0       468 
      469        26        18        25         5         9        13        10         1       469 
      470        27        19        26         6        10        14        11         2       470 
      471        28        20        27         7        11        15        12         3       471 
      472        29        21        28         8        12        16        13         4       472 
      473        30        22        29         9        13        17        14         5       473 
      474        31        23        30        10        14        18        15         6       474 
      475        32        24        31        11        15         0        16         7       475 
      476        33        25        32        12        16         1         0         8       476 
      477        34        26        33        13        17         2         1         9       477 
      478        35        27        34        14        18         3         2        10       478 
      479        36        28        35        15        19         4         3        11       479 
      480        37        29        36        16        20         5         4        12       480 
      481        38        30         0        17        21         6         5         0       481 
      482        39        31         1        18        22         7         6         1       482 
      483        40        32         2        19         0         8         7         2       483 
      484        41        33         3        20         1         9         8         3       484 
      485        42        34         4        21         2        10         9         4       485 
      486        43        35         5        22         3        11        10         5       486 
      487        44        36         6        23         4        12        11         6       487 
      488        45        37         7        24         5        13        12         7       488 
      489        46        38         8        25         6        14        13         8       489 
      490        47        39         9        26         7        15        14         9       490 
      491        48        40        10        27         8        16        15        10       491 
      492        49         0        11        28         9        17        16        11       492 
      493        50         1        12         0        10        18         0        12       493 
      494        51         2        13         1        11         0         1         0       494 
      495        52         3        14         2        12         1         2         1       495 
      496        53         4        15         3        13         2         3         2       496 
      497        54         5        16         4        14         3         4         3       497 
      498        55         6        17         5        15         4         5         4       498 
      499        56         7        18         6        16         5         6         5       499 
      500        57         8        19         7        17         6         7         6       500 
      501        58         9        20         8        18         7         8         7       501 
      502        59        10        21         9        19         8         9         8       502 
      503        60        11        22        10        20         9        10         9       503 
      504        61        12        23        11        21        10        11        10       504 
      505        62        13        24        12        22        11        12        11       505 
      506        63        14        25        13         0        12        13        12       506 
      507        64        15        26        14         1        13        14         0       507 
      508        65        16        27        15         2        14        15         1       508 
      509        66        17        28        16         3        15        16         2       509 
      510        67        18        29        17         4        16         0         3       510 
      511        68        19        30        18         5        17         1         4       511 
      512        69        20        31        19         6        18         2         5       512 
      513        70        21        32        20         7         0         3         6       513 
      514        71        22        33        21         8         1         4         7       514 
      515        72        23        34        22         9         2         5         8       515 
      516        73        24        35        23        10         3         6         9       516 
      517        74        25        36        24        11         4         7        10       517 
      518        75        26         0        25        12         5         8        11       518 
      519        76        27         1        26        13         6         9        12       519 
      520        77        28         2        27        14         7        10         0       520 
      521        78        29         3        28        15         8        11         1       521 
      522        79        30         4         0        16         9        12         2       522 
      523        80        31         5         1        17        10        13         3       523 
      524        81        32         6         2        18        11        14         4       524 
      525        82        33         7         3        19        12        15         5       525 
      526        83        34         8         4        20        13        16         6       526 
      527        84        35         9         5        21        14         0         7       527 
      528        85        36        10         6        22        15         1         8       528 
      529        86        37        11         7         0        16         2         9       529 
      530        87        38        12         8         1        17         3        10       530 
      531        88        39        13         9         2        18         4        11       531 
      532        89        40        14        10         3         0         5        12       532 
      533        90         0        15        11         4         1         6         0       533 
      534        91         1        16        12         5         2         7         1       534 
      535        92         2        17        13         6         3         8         2       535 
      536        93         3        18        14         7         4         9         3       536 
      537        94         4        19        15         8         5        10         4       537 
      538        95         5        20        16         9         6        11         5       538 
      539        96         6        21        17        10         7        12         6       539 
      540        97         7        22        18        11         8        13         7       540 
      541        98         8        23        19        12         9        14         8       541 
      542        99         9        24        20        13        10        15         9       542 
      543       100        10        25        21        14        11        16        10       543 
      544       101        11        26        22        15        12         0        11       544 
      545       102        12        27        23        16        13         1        12       545 
      546       103        13        28        24        17        14         2         0       546 
      547       104        14        29        25        18        15         3         1       547 
      548       105        15        30        26        19        16         4         2       548 
      549       106        16        31        27        20        17         5         3       549 
      550       107        17        32        28        21        18         6         4       550 
      551       108        18        33         0        22         0         7         5       551 
      552       109        19        34         1         0         1         8         6       552 
      553       110        20        35         2         1         2         9         7       553 
      554       111        21        36         3         2         3        10         8       554 
      555       112        22         0         4         3         4        11         9       555 
      556       113        23         1         5         4         5        12        10       556 
      557       114        24         2         6         5         6        13        11       557 
      558       115        25         3         7         6         7        14        12       558 
      559       116        26         4         8         7         8        15         0       559 
      560       117        27         5         9         8         9        16         1       560 
      561       118        28         6        10         9        10         0         2       561 
      562       119        29         7        11        10        11         1         3       562 
      563       120        30         8        12        11        12         2         4       563 
      564       121        31         9        13        12        13         3         5       564  # hit
      564       279        17        18         5        15         6         9         8      1165 
      564       437         3        27        26        18        18        15        11      1766 
      564       152        30        36        18        21        11         4         1      2367 
      564       310        16         8        10         1         4        10         4      2968 
      564        25         2        17         2         4        16        16         7      3569 
      564       183        29        26        23         7         9         5        10      4170 
      564       341        15        35        15        10         2        11         0      4771 
      564        56         1         7         7        13        14         0         3      5372 
      564       214        28        16        28        16         7         6         6      5973 
      564       372        14        25        20        19         0        12         9      6574 
      564        87         0        34        12        22        12         1        12      7175 
      564       245        27         6         4         2         5         7         2      7776 
      564       403        13        15        25         5        17        13         5      8377 
      564       118        40        24        17         8        10         2         8      8978 
      564       276        26        33         9        11         3         8        11      9579 
      564       434        12         5         1        14        15        14         1     10180 
      564       149        39        14        22        17         8         3         4     10781 
      564       307        25        23        14        20         1         9         7     11382 
      564        22        11        32         6         0        13        15        10     11983 
      564       180        38         4        27         3         6         4         0     12584 
      564       338        24        13        19         6        18        10         3     13185 
      564        53        10        22        11         9        11        16         6     13786 
      564       211        37        31         3        12         4         5         9     14387 
      564       369        23         3        24        15        16        11        12     14988 
      564        84         9        12        16        18         9         0         2     15589 
      564       242        36        21         8        21         2         6         5     16190 
      564       400        22        30         0         1        14        12         8     16791 
      564       115         8         2        21         4         7         1        11     17392 
      564       273        35        11        13         7         0         7         1     17993 
      564       431        21        20         5        10        12        13         4     18594 
      564       146         7        29        26        13         5         2         7     19195 
      564       304        34         1        18        16        17         8        10     19796 
      564        19        20        10        10        19        10        14         0     20397 
      564       177         6        19         2        22         3         3         3     20998 
      564       335        33        28        23         2        15         9         6     21599 
      564        50        19         0        15         5         8        15         9     22200 
      564       208         5         9         7         8         1         4        12     22801 
      564       366        32        18        28        11        13        10         2     23402 
      564        81        18        27        20        14         6        16         5     24003 
      564       239         4        36        12        17        18         5         8     24604 
      564       397        31         8         4        20        11        11        11     25205 
      564       112        17        17        25         0         4         0         1     25806 
      564       270         3        26        17         3        16         6         4     26407 
      564       428        30        35         9         6         9        12         7     27008 
      564       143        16         7         1         9         2         1        10     27609 
      564       301         2        16        22        12        14         7         0     28210 
      564        16        29        25        14        15         7        13         3     28811 
      564       174        15        34         6        18         0         2         6     29412 
      564       332         1         6        27        21        12         8         9     30013 
      564        47        28        15        19         1         5        14        12     30614 
      564       205        14        24        11         4        17         3         2     31215 
      564       363         0        33         3         7        10         9         5     31816 
      564        78        27         5        24        10         3        15         8     32417 
      564       236        13        14        16        13        15         4        11     33018 
      564       394        40        23         8        16         8        10         1     33619 
      564       109        26        32         0        19         1        16         4     34220 
      564       267        12         4        21        22        13         5         7     34821 
      564       425        39        13        13         2         6        11        10     35422 
      564       140        25        22         5         5        18         0         0     36023 
      564       298        11        31        26         8        11         6         3     36624 
      564        13        38         3        18        11         4        12         6     37225 
      564       171        24        12        10        14        16         1         9     37826 
      564       329        10        21         2        17         9         7        12     38427 
